Linux 6.11.0-21-generic (rohith-ramanan-GF65-Thin-10UE) 	04/01/2025 	_x86_64_	(12 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.89    0.01    0.47    0.04    0.00   97.59

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.13         4.33         0.00         0.00     122877          0          0
loop1             0.00         0.00         0.00         0.00         17          0          0
loop10            0.00         0.01         0.00         0.00        378          0          0
loop11            0.09         0.26         0.00         0.00       7451          0          0
loop12            0.00         0.01         0.00         0.00        347          0          0
loop13            0.02         0.81         0.00         0.00      22928          0          0
loop14            0.00         0.00         0.00         0.00         10          0          0
loop2             0.00         0.01         0.00         0.00        364          0          0
loop3             0.01         0.22         0.00         0.00       6201          0          0
loop4             0.00         0.04         0.00         0.00       1082          0          0
loop5             0.02         0.24         0.00         0.00       6870          0          0
loop6             0.00         0.04         0.00         0.00       1087          0          0
loop7             0.00         0.04         0.00         0.00       1100          0          0
loop8             0.06         2.89         0.00         0.00      81924          0          0
loop9             0.11         2.31         0.00         0.00      65649          0          0
nvme0n1           3.53        84.46        34.69         0.00    2398273     984929          0


